key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
be308dfa,be308dfa-e014-45d4-ac91-133ad280a38a,,,,aase--001ker,,,,,,,Aase,Kermit,Kermit Reuben,,,,1914,7,25,,,,1937,1940,,,,,,,,,,,,,,
592b6145,592b6145-a7df-40c4-b612-14177d2f21c9,,,,aase--000lyn,,,,,,,Aase,Lynn,Lynn Hoyt,,,,,,,,,,,,,,,,,,,,,,,,,
ab497a0d,ab497a0d-ee1f-4f92-9ee9-03141b637b77,,,,aasen-000cod,,,,,,,Aasen,Cody,Cody,,,,,,,,,,,,,,2014,2014,,,,,,,,,,
ec61366b,ec61366b-78e4-4e94-87c6-d6dd727bdefd,407577,abada001,abadan01,abad--001fau,506,,,,,,Abad,Andy,Fausto Andres,,,,1972,8,25,,,,1993,2008,2001,2006,1992,1993,,,,,,,,,,
c52f382e,c52f382e-d343-4e10-9234-32ba631e253a,593458,,,abad--001che,,,,,,,Abad,Che Yeyne,Che Yeyne,,,,1990,6,30,,,,2010,2011,,,,,,,,,,,,,,
409c5800,409c5800-6f02-42e5-8ec7-a5c87279730d,472551,abadf001,abadfe01,abad--001fer,4994,,,,,,Abad,Fernando,Fernando Antonio,,,,1985,12,17,,,,2006,2019,2010,2019,,,,,,,,,,,,
64f3f6f1,64f3f6f1-104d-433a-9af4-dc7cacaade72,,,,abad--001hen,,,,,,,Abad,Henry,Henry,,Rodríguez,,,,,,,,2007,2007,,,,,,,,,,,,,,
78212e4e,78212e4e-03bd-4dcc-89a6-90482db65055,,,,abad--000hen,,,,,,,Abad,Henry,Henry,,,,1985,1,6,,,,2012,2012,,,,,,,,,,,,,,
0c31e44b,0c31e44b-f74f-461e-a504-6a5e9766b9fc,,,,abad--000hum,,,,,,,Abad,Humberto,Humberto,,,,,,,,,,1985,1985,,,,,,,,,,,,,,
94f22b6f,94f22b6f-e863-43a5-bb20-dd6361c1f5f4,462309,,,abad--001irv,,,,,,,Abad,Irvin,Irvin D.,,,,1973,3,10,,,,1994,1994,,,,,,,,,,,,,,
c067dc9e,c067dc9e-9be9-4138-8cc6-40b7656bd7fb,,,,abad--001jai,,,,,,,Abad,Jaime,Jaime,,Reynes,,1926,10,4,,,,1951,1960,,,,,,,,,,,,,,
25c47d20,25c47d20-f2b2-42c7-a228-1f23c4e5e568,,,,abad--000jos,,,,,,,Abad,José,José Miguel,,Montoya,,,,,,,,2003,2008,,,,,,,,,,,,,,
61835937,61835937-93e7-48d5-bc87-f00c4c7e5d71,464128,,,abad--001jua,,,,,,,Abad,Juan,Juan M.,,,,1980,9,29,,,,2000,2001,,,,,,,,,,,,,,
a706f78e,a706f78e-6e47-4231-a4c6-67d214bab2d6,523389,,,abad--001leo,,,,,,,Abad,Leonaldo,Leonaldo,,,,1987,1,17,,,,2007,2008,,,,,,,,,,,,,,
400ee45e,400ee45e-e5e5-44c5-8d4d-b0c11e9d9620,602071,,,abad--000lui,,,,,,,Abad,Luis,Luis Alberto,,,,1994,4,18,,,,2011,2012,,,,,,,,,,,,,,
cd1543a4,cd1543a4-5047-4bae-83b4-dec5b3acde16,691952,,,abad--002mar,,,,,,,Abad,Marcos,Marcos,,,,,,,,,,,,,,,,,,,,,,2019,2019,,
c560b342,c560b342-2e2b-40fc-8af8-3ae871ef2358,593815,,,abad--001mar,,,,,,,Abad,Martin,Martin,,Alcala,,1991,2,23,,,,2010,2010,,,,,,,,,,,,,,
65410f71,65410f71-8916-475d-919b-193b66612f02,,,,abad--000mis,,,,,,,Abad,Misael,Misael,,Utria,,,,,,,,2007,2007,,,,,,,,,,,,,,
d862e7fb,d862e7fb-a185-423b-8346-0926fdec37b2,470308,,,abad--001noe,,,,,,,Abad,Noel,Noel Enrique,,Portorreal,,1982,11,9,,,,2001,2002,,,,,,,,,,,,,,
5b5c97e1,5b5c97e1-d2ff-429f-98ce-d68167fce1cf,,,,abad--003ram,,,,,,,Abad,Ramon,Ramon,,,,,,,,,,,,,,,,,,,,,,,,,
